"","suma opoznien","ilosc lotow","średnio opóźnień (w minutach) na lot "
"2003",32455496,6274962,5.17222191943154
"2004",53573891,6895303,7.76962100142662
"2005",58782591,6904636,8.51349600471335
"2006",68089194,6903194,9.86343336142661
"2007",80962909,7208688,11.2312960416653
"2008",25813991,2310126,11.1742783726948
